HG03781	MISC_HG03781
HG03782	MISC_HG03782
HG03784	MISC_HG03784
HG03785	MISC_HG03785
HG03786	MISC_HG03786
HG03787	MISC_HG03787
HG03788	MISC_HG03788
HG03789	MISC_HG03789
HG03790	MISC_HG03790
HG03792	MISC_HG03792
HG03793	MISC_HG03793
HG03794	MISC_HG03794
HG03795	MISC_HG03795
HG03796	MISC_HG03796
HG03797	MISC_HG03797
HG03798	MISC_HG03798
HG03799	MISC_HG03799
HG03800	MISC_HG03800
HG03801	MISC_HG03801
HG03802	MISC_HG03802
HG03803	MISC_HG03803
HG03804	MISC_HG03804
HG03805	MISC_HG03805
HG03806	MISC_HG03806
HG03807	MISC_HG03807
HG03808	MISC_HG03808
HG03809	MISC_HG03809
HG03812	MISC_HG03812
HG03814	MISC_HG03814
HG03815	MISC_HG03815
HG03816	MISC_HG03816
HG03817	MISC_HG03817
HG03821	MISC_HG03821
HG03823	MISC_HG03823
HG03824	MISC_HG03824
HG03825	MISC_HG03825
HG03826	MISC_HG03826
HG03829	MISC_HG03829
HG03830	MISC_HG03830
HG03831	MISC_HG03831
HG03832	MISC_HG03832
HG03833	MISC_HG03833
HG03834	MISC_HG03834
HG03836	MISC_HG03836
HG03837	MISC_HG03837
HG03838	MISC_HG03838
HG03844	MISC_HG03844
HG03846	MISC_HG03846
HG03848	MISC_HG03848
HG03849	MISC_HG03849
HG03850	MISC_HG03850
HG03851	MISC_HG03851
HG03854	MISC_HG03854
HG03856	MISC_HG03856
HG03857	MISC_HG03857
HG03858	MISC_HG03858
HG03861	MISC_HG03861
HG03862	MISC_HG03862
HG03863	MISC_HG03863
HG03864	MISC_HG03864
HG03866	MISC_HG03866
HG03867	MISC_HG03867
HG03868	MISC_HG03868
HG03869	MISC_HG03869
HG03870	MISC_HG03870
HG03871	MISC_HG03871
HG03872	MISC_HG03872
HG03873	MISC_HG03873
HG03874	MISC_HG03874
HG03875	MISC_HG03875
HG03882	MISC_HG03882
HG03884	MISC_HG03884
HG03885	MISC_HG03885
HG03886	MISC_HG03886
HG03887	MISC_HG03887
HG03888	MISC_HG03888
HG03890	MISC_HG03890
HG03894	MISC_HG03894
HG03895	MISC_HG03895
HG03896	MISC_HG03896
HG03897	MISC_HG03897
HG03898	MISC_HG03898
HG03899	MISC_HG03899
HG03900	MISC_HG03900
HG03902	MISC_HG03902
HG03904	MISC_HG03904
HG03905	MISC_HG03905
HG03906	MISC_HG03906
HG03907	MISC_HG03907
HG03908	MISC_HG03908
HG03909	MISC_HG03909
HG03910	MISC_HG03910
HG03911	MISC_HG03911
HG03913	MISC_HG03913
HG03914	MISC_HG03914
HG03915	MISC_HG03915
HG03916	MISC_HG03916
HG03917	MISC_HG03917
HG03919	MISC_HG03919
HG03920	MISC_HG03920
HG03922	MISC_HG03922
HG03925	MISC_HG03925
HG03926	MISC_HG03926
HG03927	MISC_HG03927
HG03928	MISC_HG03928
HG03929	MISC_HG03929
HG03930	MISC_HG03930
HG03931	MISC_HG03931
HG03934	MISC_HG03934
HG03937	MISC_HG03937
HG03940	MISC_HG03940
HG03941	MISC_HG03941
HG03942	MISC_HG03942
HG03943	MISC_HG03943
HG03944	MISC_HG03944
HG03945	MISC_HG03945
HG03947	MISC_HG03947
HG03949	MISC_HG03949
HG03950	MISC_HG03950
HG03951	MISC_HG03951
HG03953	MISC_HG03953
HG03955	MISC_HG03955
HG03960	MISC_HG03960
HG03963	MISC_HG03963
HG03965	MISC_HG03965
HG03967	MISC_HG03967
HG03968	MISC_HG03968
HG03969	MISC_HG03969
HG03971	MISC_HG03971
HG03973	MISC_HG03973
HG03974	MISC_HG03974
HG03976	MISC_HG03976
HG03977	MISC_HG03977
HG03978	MISC_HG03978
HG03985	MISC_HG03985
HG03986	MISC_HG03986
HG03989	MISC_HG03989
HG03990	MISC_HG03990
HG03991	MISC_HG03991
HG03992	MISC_HG03992
HG03995	MISC_HG03995
HG03998	MISC_HG03998
HG03999	MISC_HG03999
HG04001	MISC_HG04001
HG04002	MISC_HG04002
HG04003	MISC_HG04003
HG04006	MISC_HG04006
HG04014	MISC_HG04014
HG04015	MISC_HG04015
HG04017	MISC_HG04017
HG04018	MISC_HG04018
HG04019	MISC_HG04019
HG04020	MISC_HG04020
HG04022	MISC_HG04022
HG04023	MISC_HG04023
HG04025	MISC_HG04025
HG04026	MISC_HG04026
HG04029	MISC_HG04029
HG04033	MISC_HG04033
HG04035	MISC_HG04035
HG04036	MISC_HG04036
HG04038	MISC_HG04038
HG04039	MISC_HG04039
HG04042	MISC_HG04042
HG04047	MISC_HG04047
HG04054	MISC_HG04054
HG04056	MISC_HG04056
HG04059	MISC_HG04059
HG04060	MISC_HG04060
HG04061	MISC_HG04061
HG04062	MISC_HG04062
HG04063	MISC_HG04063
HG04070	MISC_HG04070
HG04075	MISC_HG04075
HG04076	MISC_HG04076
HG04080	MISC_HG04080
HG04090	MISC_HG04090
HG04093	MISC_HG04093
HG04094	MISC_HG04094
HG04096	MISC_HG04096
HG04098	MISC_HG04098
HG04099	MISC_HG04099
HG04100	MISC_HG04100
HG04106	MISC_HG04106
HG04107	MISC_HG04107
HG04115	MISC_HG04115
HG04118	MISC_HG04118
HG04122	MISC_HG04122
HG04127	MISC_HG04127
HG04131	MISC_HG04131
HG04132	MISC_HG04132
HG04133	MISC_HG04133
HG04134	MISC_HG04134
HG04135	MISC_HG04135
HG04136	MISC_HG04136
HG04140	MISC_HG04140
HG04141	MISC_HG04141
HG04142	MISC_HG04142
HG04144	MISC_HG04144
HG04146	MISC_HG04146
HG04147	MISC_HG04147
HG04148	MISC_HG04148
HG04149	MISC_HG04149
HG04150	MISC_HG04150
HG04151	MISC_HG04151
HG04152	MISC_HG04152
HG04153	MISC_HG04153
HG04155	MISC_HG04155
HG04156	MISC_HG04156
HG04157	MISC_HG04157
HG04158	MISC_HG04158
HG04159	MISC_HG04159
HG04160	MISC_HG04160
HG04161	MISC_HG04161
HG04162	MISC_HG04162
HG04164	MISC_HG04164
HG04171	MISC_HG04171
HG04173	MISC_HG04173
HG04174	MISC_HG04174
HG04175	MISC_HG04175
HG04176	MISC_HG04176
HG04177	MISC_HG04177
HG04180	MISC_HG04180
HG04182	MISC_HG04182
HG04183	MISC_HG04183
HG04184	MISC_HG04184
HG04185	MISC_HG04185
HG04186	MISC_HG04186
HG04187	MISC_HG04187
HG04188	MISC_HG04188
HG04189	MISC_HG04189
HG04191	MISC_HG04191
HG04192	MISC_HG04192
HG04193	MISC_HG04193
HG04194	MISC_HG04194
HG04195	MISC_HG04195
HG04198	MISC_HG04198
HG04199	MISC_HG04199
HG04200	MISC_HG04200
HG04202	MISC_HG04202
HG04204	MISC_HG04204
HG04206	MISC_HG04206
HG04209	MISC_HG04209
HG04210	MISC_HG04210
HG04211	MISC_HG04211
HG04212	MISC_HG04212
HG04214	MISC_HG04214
HG04215	MISC_HG04215
HG04216	MISC_HG04216
HG04217	MISC_HG04217
HG04219	MISC_HG04219
HG04222	MISC_HG04222
HG04225	MISC_HG04225
HG04227	MISC_HG04227
HG04228	MISC_HG04228
HG04229	MISC_HG04229
HG04235	MISC_HG04235
HG04238	MISC_HG04238
HG04239	MISC_HG04239
NA06984	MISC_NA06984
NA06985	MISC_NA06985
NA06986	MISC_NA06986
NA06989	MISC_NA06989
NA06991	MISC_NA06991
NA06993	MISC_NA06993
NA06994	MISC_NA06994
NA06995	MISC_NA06995
NA06997	MISC_NA06997
NA07000	MISC_NA07000
NA07014	MISC_NA07014
NA07019	MISC_NA07019
NA07022	MISC_NA07022
NA07029	MISC_NA07029
NA07031	MISC_NA07031
NA07034	MISC_NA07034
NA07037	MISC_NA07037
NA07045	MISC_NA07045
NA07048	MISC_NA07048
NA07051	MISC_NA07051
NA07055	MISC_NA07055
NA07056	MISC_NA07056
NA07345	MISC_NA07345
NA07346	MISC_NA07346
NA07347	MISC_NA07347
NA07348	MISC_NA07348
NA07349	MISC_NA07349
NA07357	MISC_NA07357
NA07435	MISC_NA07435
NA10830	MISC_NA10830
NA10831	MISC_NA10831
NA10835	MISC_NA10835
NA10836	MISC_NA10836
NA10837	MISC_NA10837
NA10838	MISC_NA10838
NA10839	MISC_NA10839
NA10840	MISC_NA10840
NA10842	MISC_NA10842
NA10843	MISC_NA10843
NA10845	MISC_NA10845
NA10846	MISC_NA10846
NA10847	MISC_NA10847
NA10851	MISC_NA10851
NA10852	MISC_NA10852
NA10854	MISC_NA10854
NA10855	MISC_NA10855
NA10856	MISC_NA10856
NA10857	MISC_NA10857
NA10859	MISC_NA10859
NA10860	MISC_NA10860
NA10861	MISC_NA10861
NA10863	MISC_NA10863
NA10864	MISC_NA10864
NA10865	MISC_NA10865
NA11829	MISC_NA11829
NA11830	MISC_NA11830
NA11831	MISC_NA11831
NA11832	MISC_NA11832
NA11839	MISC_NA11839
NA11840	MISC_NA11840
NA11843	MISC_NA11843
NA11881	MISC_NA11881
NA11882	MISC_NA11882
NA11891	MISC_NA11891
NA11892	MISC_NA11892
NA11893	MISC_NA11893
NA11894	MISC_NA11894
NA11917	MISC_NA11917
NA11918	MISC_NA11918
NA11919	MISC_NA11919
NA11920	MISC_NA11920
NA11930	MISC_NA11930
NA11931	MISC_NA11931
NA11932	MISC_NA11932
NA11933	MISC_NA11933
NA11992	MISC_NA11992
NA11993	MISC_NA11993
NA11994	MISC_NA11994
NA11995	MISC_NA11995
NA12003	MISC_NA12003
NA12004	MISC_NA12004
NA12005	MISC_NA12005
NA12006	MISC_NA12006
NA12043	MISC_NA12043
NA12044	MISC_NA12044
NA12045	MISC_NA12045
NA12046	MISC_NA12046
NA12056	MISC_NA12056
NA12057	MISC_NA12057
NA12058	MISC_NA12058
NA12144	MISC_NA12144
NA12145	MISC_NA12145
NA12146	MISC_NA12146
NA12154	MISC_NA12154
NA12155	MISC_NA12155
NA12156	MISC_NA12156
NA12234	MISC_NA12234
NA12236	MISC_NA12236
NA12239	MISC_NA12239
NA12248	MISC_NA12248
NA12249	MISC_NA12249
NA12264	MISC_NA12264
NA12272	MISC_NA12272
NA12273	MISC_NA12273
NA12274	MISC_NA12274
NA12275	MISC_NA12275
NA12282	MISC_NA12282
NA12283	MISC_NA12283
NA12286	MISC_NA12286
NA12287	MISC_NA12287
NA12329	MISC_NA12329
NA12335	MISC_NA12335
NA12336	MISC_NA12336
NA12340	MISC_NA12340
NA12341	MISC_NA12341
NA12342	MISC_NA12342
NA12343	MISC_NA12343
NA12344	MISC_NA12344
NA12347	MISC_NA12347
NA12348	MISC_NA12348
NA12376	MISC_NA12376
NA12383	MISC_NA12383
NA12386	MISC_NA12386
NA12399	MISC_NA12399
NA12400	MISC_NA12400
NA12413	MISC_NA12413
NA12414	MISC_NA12414
NA12485	MISC_NA12485
NA12489	MISC_NA12489
NA12546	MISC_NA12546
NA12707	MISC_NA12707
NA12716	MISC_NA12716
NA12717	MISC_NA12717
NA12718	MISC_NA12718
NA12739	MISC_NA12739
NA12740	MISC_NA12740
NA12748	MISC_NA12748
NA12749	MISC_NA12749
NA12750	MISC_NA12750
NA12751	MISC_NA12751
NA12752	MISC_NA12752
NA12753	MISC_NA12753
NA12760	MISC_NA12760
NA12761	MISC_NA12761
NA12762	MISC_NA12762
NA12763	MISC_NA12763
NA12766	MISC_NA12766
NA12767	MISC_NA12767
NA12775	MISC_NA12775
NA12776	MISC_NA12776
NA12777	MISC_NA12777
NA12778	MISC_NA12778
NA12801	MISC_NA12801
NA12802	MISC_NA12802
NA12812	MISC_NA12812
NA12813	MISC_NA12813
NA12814	MISC_NA12814
NA12815	MISC_NA12815
NA12817	MISC_NA12817
NA12818	MISC_NA12818
NA12827	MISC_NA12827
NA12828	MISC_NA12828
NA12829	MISC_NA12829
NA12830	MISC_NA12830
NA12832	MISC_NA12832
NA12842	MISC_NA12842
NA12843	MISC_NA12843
NA12864	MISC_NA12864
NA12865	MISC_NA12865
NA12872	MISC_NA12872
NA12873	MISC_NA12873
NA12874	MISC_NA12874
NA12875	MISC_NA12875
NA12877	MISC_NA12877
NA12878	MISC_NA12878
NA12889	MISC_NA12889
NA12890	MISC_NA12890
NA12891	MISC_NA12891
NA12892	MISC_NA12892
NA18484	MISC_NA18484
NA18485	MISC_NA18485
NA18486	MISC_NA18486
NA18487	MISC_NA18487
NA18488	MISC_NA18488
NA18489	MISC_NA18489
NA18497	MISC_NA18497
NA18498	MISC_NA18498
NA18499	MISC_NA18499
NA18500	MISC_NA18500
NA18501	MISC_NA18501
NA18502	MISC_NA18502
NA18503	MISC_NA18503
NA18504	MISC_NA18504
NA18505	MISC_NA18505
NA18506	MISC_NA18506
NA18507	MISC_NA18507
NA18508	MISC_NA18508
NA18510	MISC_NA18510
NA18511	MISC_NA18511
NA18515	MISC_NA18515
NA18516	MISC_NA18516
NA18517	MISC_NA18517
NA18518	MISC_NA18518
NA18519	MISC_NA18519
NA18520	MISC_NA18520
NA18521	MISC_NA18521
NA18522	MISC_NA18522
NA18523	MISC_NA18523
NA18525	MISC_NA18525
NA18526	MISC_NA18526
NA18528	MISC_NA18528
NA18530	MISC_NA18530
NA18531	MISC_NA18531
NA18532	MISC_NA18532
NA18533	MISC_NA18533
NA18534	MISC_NA18534
NA18535	MISC_NA18535
NA18536	MISC_NA18536
NA18537	MISC_NA18537
NA18538	MISC_NA18538
NA18539	MISC_NA18539
NA18541	MISC_NA18541
NA18542	MISC_NA18542
NA18543	MISC_NA18543
NA18544	MISC_NA18544
NA18545	MISC_NA18545
NA18546	MISC_NA18546
NA18547	MISC_NA18547
NA18548	MISC_NA18548
NA18549	MISC_NA18549
NA18550	MISC_NA18550
NA18552	MISC_NA18552
NA18553	MISC_NA18553
NA18555	MISC_NA18555
NA18557	MISC_NA18557
NA18558	MISC_NA18558
NA18559	MISC_NA18559
NA18560	MISC_NA18560
NA18561	MISC_NA18561
NA18562	MISC_NA18562
NA18563	MISC_NA18563
