HG03781	MISC_HG03781
HG03782	MISC_HG03782
HG03784	MISC_HG03784
HG03785	MISC_HG03785
HG03786	MISC_HG03786
HG03787	MISC_HG03787
HG03788	MISC_HG03788
HG03789	MISC_HG03789
HG03790	MISC_HG03790
HG03792	MISC_HG03792
HG03793	MISC_HG03793
HG03794	MISC_HG03794
HG03795	MISC_HG03795
HG03796	MISC_HG03796
HG03797	MISC_HG03797
HG03798	MISC_HG03798
HG03799	MISC_HG03799
HG03800	MISC_HG03800
HG03801	MISC_HG03801
HG03802	MISC_HG03802
HG03803	MISC_HG03803
HG03804	MISC_HG03804
HG03805	MISC_HG03805
HG03806	MISC_HG03806
HG03807	MISC_HG03807
HG03808	MISC_HG03808
HG03809	MISC_HG03809
HG03812	MISC_HG03812
HG03814	MISC_HG03814
HG03815	MISC_HG03815
HG03816	MISC_HG03816
HG03817	MISC_HG03817
HG03821	MISC_HG03821
HG03823	MISC_HG03823
HG03824	MISC_HG03824
HG03825	MISC_HG03825
HG03826	MISC_HG03826
HG03829	MISC_HG03829
HG03830	MISC_HG03830
HG03831	MISC_HG03831
HG03832	MISC_HG03832
HG03833	MISC_HG03833
HG03834	MISC_HG03834
HG03836	MISC_HG03836
HG03837	MISC_HG03837
HG03838	MISC_HG03838
HG03844	MISC_HG03844
HG03846	MISC_HG03846
HG03848	MISC_HG03848
HG03849	MISC_HG03849
HG03850	MISC_HG03850
HG03851	MISC_HG03851
HG03854	MISC_HG03854
HG03856	MISC_HG03856
HG03857	MISC_HG03857
HG03858	MISC_HG03858
HG03861	MISC_HG03861
HG03862	MISC_HG03862
HG03863	MISC_HG03863
HG03864	MISC_HG03864
HG03866	MISC_HG03866
HG03867	MISC_HG03867
HG03868	MISC_HG03868
HG03869	MISC_HG03869
HG03870	MISC_HG03870
HG03871	MISC_HG03871
HG03872	MISC_HG03872
HG03873	MISC_HG03873
HG03874	MISC_HG03874
HG03875	MISC_HG03875
HG03882	MISC_HG03882
HG03884	MISC_HG03884
HG03885	MISC_HG03885
HG03886	MISC_HG03886
HG03887	MISC_HG03887
HG03888	MISC_HG03888
HG03890	MISC_HG03890
HG03894	MISC_HG03894
HG03895	MISC_HG03895
HG03896	MISC_HG03896
HG03897	MISC_HG03897
HG03898	MISC_HG03898
HG03899	MISC_HG03899
HG03900	MISC_HG03900
HG03902	MISC_HG03902
HG03904	MISC_HG03904
HG03905	MISC_HG03905
HG03906	MISC_HG03906
HG03907	MISC_HG03907
HG03908	MISC_HG03908
HG03909	MISC_HG03909
HG03910	MISC_HG03910
HG03911	MISC_HG03911
HG03913	MISC_HG03913
HG03914	MISC_HG03914
HG03915	MISC_HG03915
HG03916	MISC_HG03916
HG03917	MISC_HG03917
HG03919	MISC_HG03919
HG03920	MISC_HG03920
NA12753	MISC_NA12753
NA12760	MISC_NA12760
NA12761	MISC_NA12761
NA12762	MISC_NA12762
NA12763	MISC_NA12763
NA12766	MISC_NA12766
NA12767	MISC_NA12767
NA12775	MISC_NA12775
NA12776	MISC_NA12776
NA12777	MISC_NA12777
NA12778	MISC_NA12778
NA12801	MISC_NA12801
NA12802	MISC_NA12802
NA12812	MISC_NA12812
NA12813	MISC_NA12813
NA12814	MISC_NA12814
NA12815	MISC_NA12815
NA12817	MISC_NA12817
NA12818	MISC_NA12818
NA12827	MISC_NA12827
NA12828	MISC_NA12828
NA12829	MISC_NA12829
NA12830	MISC_NA12830
NA12832	MISC_NA12832
NA12842	MISC_NA12842
NA12843	MISC_NA12843
NA12864	MISC_NA12864
NA12865	MISC_NA12865
NA12872	MISC_NA12872
NA12873	MISC_NA12873
NA12874	MISC_NA12874
NA12875	MISC_NA12875
NA12877	MISC_NA12877
NA12878	MISC_NA12878
NA12889	MISC_NA12889
NA12890	MISC_NA12890
NA12891	MISC_NA12891
NA12892	MISC_NA12892
NA18484	MISC_NA18484
NA18485	MISC_NA18485
NA18486	MISC_NA18486
NA18487	MISC_NA18487
NA18488	MISC_NA18488
NA18489	MISC_NA18489
NA18497	MISC_NA18497
NA18498	MISC_NA18498
NA18499	MISC_NA18499
NA18500	MISC_NA18500
NA18501	MISC_NA18501
NA18502	MISC_NA18502
NA18503	MISC_NA18503
NA18504	MISC_NA18504
NA18505	MISC_NA18505
NA18506	MISC_NA18506
NA18507	MISC_NA18507
NA18508	MISC_NA18508
NA18510	MISC_NA18510
NA18511	MISC_NA18511
NA18515	MISC_NA18515
NA18516	MISC_NA18516
NA18517	MISC_NA18517
NA18518	MISC_NA18518
NA18519	MISC_NA18519
NA18520	MISC_NA18520
NA18521	MISC_NA18521
NA18522	MISC_NA18522
NA18523	MISC_NA18523
NA18525	MISC_NA18525
NA18526	MISC_NA18526
NA18528	MISC_NA18528
NA18530	MISC_NA18530
NA18531	MISC_NA18531
NA18532	MISC_NA18532
NA18533	MISC_NA18533
NA18534	MISC_NA18534
NA18535	MISC_NA18535
NA18536	MISC_NA18536
NA18537	MISC_NA18537
NA18538	MISC_NA18538
NA18539	MISC_NA18539
NA18541	MISC_NA18541
NA18542	MISC_NA18542
NA18543	MISC_NA18543
NA18544	MISC_NA18544
NA18545	MISC_NA18545
NA18546	MISC_NA18546
NA18547	MISC_NA18547
NA18548	MISC_NA18548
NA18549	MISC_NA18549
NA18550	MISC_NA18550
NA18552	MISC_NA18552
NA18553	MISC_NA18553
NA18555	MISC_NA18555
NA18557	MISC_NA18557
NA18558	MISC_NA18558
NA18559	MISC_NA18559
NA18560	MISC_NA18560
NA18561	MISC_NA18561
NA18562	MISC_NA18562
NA18563	MISC_NA18563
