HG00096	CTRL_HG00096
HG00097	CTRL_HG00097
HG00099	CTRL_HG00099
HG00100	CTRL_HG00100
HG00101	CTRL_HG00101
HG00102	CTRL_HG00102
HG00103	CTRL_HG00103
HG00105	CTRL_HG00105
HG00106	CTRL_HG00106
HG00107	CTRL_HG00107
HG00108	CTRL_HG00108
HG00109	CTRL_HG00109
HG00110	CTRL_HG00110
HG00111	CTRL_HG00111
HG00112	CTRL_HG00112
HG00113	CTRL_HG00113
HG00114	CTRL_HG00114
HG00115	CTRL_HG00115
HG00116	CTRL_HG00116
HG00117	CTRL_HG00117
HG00118	CTRL_HG00118
HG00119	CTRL_HG00119
HG00120	CTRL_HG00120
HG00121	CTRL_HG00121
HG00122	CTRL_HG00122
HG00123	CTRL_HG00123
HG00125	CTRL_HG00125
HG00126	CTRL_HG00126
HG00127	CTRL_HG00127
HG00128	CTRL_HG00128
HG00129	CTRL_HG00129
HG00130	CTRL_HG00130
HG00131	CTRL_HG00131
HG00132	CTRL_HG00132
HG00133	CTRL_HG00133
HG00136	CTRL_HG00136
HG00137	CTRL_HG00137
HG00138	CTRL_HG00138
HG00139	CTRL_HG00139
HG00140	CTRL_HG00140
HG00141	CTRL_HG00141
HG00142	CTRL_HG00142
HG00143	CTRL_HG00143
HG00145	CTRL_HG00145
HG00146	CTRL_HG00146
HG00148	CTRL_HG00148
HG00149	CTRL_HG00149
HG00150	CTRL_HG00150
HG00151	CTRL_HG00151
HG00154	CTRL_HG00154
HG00155	CTRL_HG00155
HG00157	CTRL_HG00157
HG00158	CTRL_HG00158
HG00159	CTRL_HG00159
HG00160	CTRL_HG00160
HG00171	CTRL_HG00171
HG00173	CTRL_HG00173
HG00174	CTRL_HG00174
HG00176	CTRL_HG00176
HG00177	CTRL_HG00177
HG00178	CTRL_HG00178
HG00179	CTRL_HG00179
HG00180	CTRL_HG00180
HG00181	CTRL_HG00181
HG00182	CTRL_HG00182
HG00183	CTRL_HG00183
HG00185	CTRL_HG00185
HG00186	CTRL_HG00186
HG00187	CTRL_HG00187
HG00188	CTRL_HG00188
HG00189	CTRL_HG00189
HG00190	CTRL_HG00190
HG00231	CTRL_HG00231
HG00232	CTRL_HG00232
HG00233	CTRL_HG00233
HG00234	CTRL_HG00234
HG00235	CTRL_HG00235
HG00236	CTRL_HG00236
HG00237	CTRL_HG00237
HG00238	CTRL_HG00238
HG00239	CTRL_HG00239
HG00240	CTRL_HG00240
HG00242	CTRL_HG00242
HG00243	CTRL_HG00243
HG00244	CTRL_HG00244
HG00245	CTRL_HG00245
HG00246	CTRL_HG00246
HG00250	CTRL_HG00250
HG00251	CTRL_HG00251
HG00252	CTRL_HG00252
HG00253	CTRL_HG00253
HG00254	CTRL_HG00254
HG00255	CTRL_HG00255
HG00256	CTRL_HG00256
HG00257	CTRL_HG00257
HG00258	CTRL_HG00258
HG00259	CTRL_HG00259
HG00260	CTRL_HG00260
HG00261	CTRL_HG00261
HG00262	CTRL_HG00262
HG00263	CTRL_HG00263
HG00264	CTRL_HG00264
HG00265	CTRL_HG00265
HG00266	CTRL_HG00266
HG00267	CTRL_HG00267
HG00268	CTRL_HG00268
HG00269	CTRL_HG00269
HG00271	CTRL_HG00271
HG00272	CTRL_HG00272
HG00273	CTRL_HG00273
HG00274	CTRL_HG00274
HG00275	CTRL_HG00275
HG00276	CTRL_HG00276
HG00277	CTRL_HG00277
HG00278	CTRL_HG00278
HG00280	CTRL_HG00280
HG00281	CTRL_HG00281
HG00282	CTRL_HG00282
HG00284	CTRL_HG00284
HG00285	CTRL_HG00285
HG00288	CTRL_HG00288
HG00290	CTRL_HG00290
HG00304	CTRL_HG00304
HG00306	CTRL_HG00306
HG00308	CTRL_HG00308
HG00309	CTRL_HG00309
HG00310	CTRL_HG00310
HG00311	CTRL_HG00311
HG00313	CTRL_HG00313
HG00315	CTRL_HG00315
HG00318	CTRL_HG00318
HG00319	CTRL_HG00319
HG00320	CTRL_HG00320
HG00321	CTRL_HG00321
HG00323	CTRL_HG00323
HG00324	CTRL_HG00324
HG00325	CTRL_HG00325
HG00326	CTRL_HG00326
HG00327	CTRL_HG00327
HG00328	CTRL_HG00328
HG00329	CTRL_HG00329
HG00330	CTRL_HG00330
HG00331	CTRL_HG00331
HG00332	CTRL_HG00332
HG00334	CTRL_HG00334
HG00335	CTRL_HG00335
HG00336	CTRL_HG00336
HG00337	CTRL_HG00337
HG00338	CTRL_HG00338
HG00339	CTRL_HG00339
HG00341	CTRL_HG00341
HG00342	CTRL_HG00342
HG00343	CTRL_HG00343
HG00344	CTRL_HG00344
HG00345	CTRL_HG00345
HG00346	CTRL_HG00346
HG00349	CTRL_HG00349
HG00350	CTRL_HG00350
HG00351	CTRL_HG00351
HG00353	CTRL_HG00353
HG00355	CTRL_HG00355
HG00356	CTRL_HG00356
HG00357	CTRL_HG00357
HG00358	CTRL_HG00358
HG00360	CTRL_HG00360
HG00361	CTRL_HG00361
HG00362	CTRL_HG00362
HG00364	CTRL_HG00364
HG00365	CTRL_HG00365
HG00366	CTRL_HG00366
HG00367	CTRL_HG00367
HG00368	CTRL_HG00368
HG00369	CTRL_HG00369
HG00371	CTRL_HG00371
HG00372	CTRL_HG00372
HG00373	CTRL_HG00373
HG00375	CTRL_HG00375
HG00376	CTRL_HG00376
HG00378	CTRL_HG00378
HG00379	CTRL_HG00379
HG00380	CTRL_HG00380
HG00381	CTRL_HG00381
HG00382	CTRL_HG00382
HG00383	CTRL_HG00383
HG00384	CTRL_HG00384
HG00403	CTRL_HG00403
HG00404	CTRL_HG00404
HG00405	CTRL_HG00405
HG00406	CTRL_HG00406
HG00407	CTRL_HG00407
HG00408	CTRL_HG00408
HG00409	CTRL_HG00409
HG00410	CTRL_HG00410
HG00418	CTRL_HG00418
HG00419	CTRL_HG00419
HG00420	CTRL_HG00420
HG00421	CTRL_HG00421
HG00422	CTRL_HG00422
HG00423	CTRL_HG00423
HG00427	CTRL_HG00427
HG00428	CTRL_HG00428
HG00429	CTRL_HG00429
HG00436	CTRL_HG00436
HG00437	CTRL_HG00437
HG00438	CTRL_HG00438
HG00442	CTRL_HG00442
HG00443	CTRL_HG00443
HG00444	CTRL_HG00444
HG00445	CTRL_HG00445
HG00446	CTRL_HG00446
HG00447	CTRL_HG00447
HG00448	CTRL_HG00448
HG00449	CTRL_HG00449
HG00450	CTRL_HG00450
HG00451	CTRL_HG00451
HG00452	CTRL_HG00452
HG00453	CTRL_HG00453
HG00457	CTRL_HG00457
HG00458	CTRL_HG00458
HG00459	CTRL_HG00459
HG00463	CTRL_HG00463
HG00464	CTRL_HG00464
HG00465	CTRL_HG00465
HG00472	CTRL_HG00472
HG00473	CTRL_HG00473
HG00474	CTRL_HG00474
HG00475	CTRL_HG00475
HG00476	CTRL_HG00476
HG00477	CTRL_HG00477
HG00478	CTRL_HG00478
HG00479	CTRL_HG00479
HG00480	CTRL_HG00480
HG00500	CTRL_HG00500
HG00501	CTRL_HG00501
HG00502	CTRL_HG00502
HG00512	CTRL_HG00512
HG00513	CTRL_HG00513
HG00514	CTRL_HG00514
HG00524	CTRL_HG00524
HG00525	CTRL_HG00525
HG00526	CTRL_HG00526
HG00530	CTRL_HG00530
HG00531	CTRL_HG00531
HG00532	CTRL_HG00532
HG00533	CTRL_HG00533
HG00534	CTRL_HG00534
HG00535	CTRL_HG00535
HG00536	CTRL_HG00536
HG00537	CTRL_HG00537
HG00538	CTRL_HG00538
HG00542	CTRL_HG00542
HG00543	CTRL_HG00543
HG00544	CTRL_HG00544
HG00551	CTRL_HG00551
HG00552	CTRL_HG00552
HG00553	CTRL_HG00553
HG00554	CTRL_HG00554
HG00555	CTRL_HG00555
HG00556	CTRL_HG00556
HG00557	CTRL_HG00557
HG00558	CTRL_HG00558
HG00559	CTRL_HG00559
HG00560	CTRL_HG00560
HG00561	CTRL_HG00561
HG00565	CTRL_HG00565
HG00566	CTRL_HG00566
HG00567	CTRL_HG00567
HG00577	CTRL_HG00577
HG00578	CTRL_HG00578
HG00579	CTRL_HG00579
HG00580	CTRL_HG00580
HG00581	CTRL_HG00581
HG00582	CTRL_HG00582
HG00583	CTRL_HG00583
HG00584	CTRL_HG00584
HG00585	CTRL_HG00585
HG00589	CTRL_HG00589
HG00590	CTRL_HG00590
HG00591	CTRL_HG00591
HG00592	CTRL_HG00592
HG00593	CTRL_HG00593
HG00594	CTRL_HG00594
HG00595	CTRL_HG00595
HG00596	CTRL_HG00596
HG00597	CTRL_HG00597
HG00598	CTRL_HG00598
HG00599	CTRL_HG00599
HG00607	CTRL_HG00607
HG00608	CTRL_HG00608
HG00609	CTRL_HG00609
HG00610	CTRL_HG00610
HG00611	CTRL_HG00611
HG00612	CTRL_HG00612
HG00613	CTRL_HG00613
HG00614	CTRL_HG00614
HG00615	CTRL_HG00615
HG00619	CTRL_HG00619
HG00620	CTRL_HG00620
HG00621	CTRL_HG00621
HG00622	CTRL_HG00622
HG00623	CTRL_HG00623
HG00625	CTRL_HG00625
HG00626	CTRL_HG00626
HG00627	CTRL_HG00627
HG00628	CTRL_HG00628
HG00629	CTRL_HG00629
HG00630	CTRL_HG00630
HG00631	CTRL_HG00631
HG00632	CTRL_HG00632
HG00634	CTRL_HG00634
HG00635	CTRL_HG00635
HG00636	CTRL_HG00636
HG00637	CTRL_HG00637
HG00638	CTRL_HG00638
HG00639	CTRL_HG00639
HG00640	CTRL_HG00640
HG00641	CTRL_HG00641
HG00642	CTRL_HG00642
HG00650	CTRL_HG00650
HG00651	CTRL_HG00651
HG00652	CTRL_HG00652
HG00653	CTRL_HG00653
HG00654	CTRL_HG00654
HG00655	CTRL_HG00655
HG00656	CTRL_HG00656
HG00657	CTRL_HG00657
HG00658	CTRL_HG00658
HG00662	CTRL_HG00662
HG00663	CTRL_HG00663
HG00664	CTRL_HG00664
HG00671	CTRL_HG00671
HG00672	CTRL_HG00672
HG00673	CTRL_HG00673
HG00674	CTRL_HG00674
HG00675	CTRL_HG00675
HG00683	CTRL_HG00683
HG00684	CTRL_HG00684
HG00685	CTRL_HG00685
HG00689	CTRL_HG00689
HG00690	CTRL_HG00690
HG00691	CTRL_HG00691
HG00692	CTRL_HG00692
HG00693	CTRL_HG00693
HG00694	CTRL_HG00694
HG00698	CTRL_HG00698
HG00699	CTRL_HG00699
