HG00096	CTRL_HG00096
HG00097	CTRL_HG00097
HG00099	CTRL_HG00099
HG00100	CTRL_HG00100
HG00101	CTRL_HG00101
HG00102	CTRL_HG00102
HG00103	CTRL_HG00103
HG00105	CTRL_HG00105
HG00106	CTRL_HG00106
HG00107	CTRL_HG00107
HG00108	CTRL_HG00108
HG00109	CTRL_HG00109
HG00110	CTRL_HG00110
HG00111	CTRL_HG00111
HG00112	CTRL_HG00112
HG00113	CTRL_HG00113
HG00114	CTRL_HG00114
HG00115	CTRL_HG00115
HG00116	CTRL_HG00116
HG00117	CTRL_HG00117
HG00118	CTRL_HG00118
HG00119	CTRL_HG00119
HG00120	CTRL_HG00120
HG00121	CTRL_HG00121
HG00122	CTRL_HG00122
HG00123	CTRL_HG00123
HG00125	CTRL_HG00125
HG00126	CTRL_HG00126
HG00127	CTRL_HG00127
HG00128	CTRL_HG00128
HG00129	CTRL_HG00129
HG00130	CTRL_HG00130
HG00131	CTRL_HG00131
HG00132	CTRL_HG00132
HG00133	CTRL_HG00133
HG00136	CTRL_HG00136
HG00137	CTRL_HG00137
HG00138	CTRL_HG00138
HG00139	CTRL_HG00139
HG00140	CTRL_HG00140
HG00141	CTRL_HG00141
HG00142	CTRL_HG00142
HG00143	CTRL_HG00143
HG00145	CTRL_HG00145
HG00146	CTRL_HG00146
HG00148	CTRL_HG00148
HG00149	CTRL_HG00149
HG00150	CTRL_HG00150
HG00151	CTRL_HG00151
HG00154	CTRL_HG00154
HG00155	CTRL_HG00155
HG00157	CTRL_HG00157
HG00158	CTRL_HG00158
HG00159	CTRL_HG00159
HG00160	CTRL_HG00160
HG00171	CTRL_HG00171
HG00173	CTRL_HG00173
HG00174	CTRL_HG00174
HG00176	CTRL_HG00176
HG00177	CTRL_HG00177
HG00178	CTRL_HG00178
HG00179	CTRL_HG00179
HG00180	CTRL_HG00180
HG00181	CTRL_HG00181
HG00182	CTRL_HG00182
HG00183	CTRL_HG00183
HG00185	CTRL_HG00185
HG00186	CTRL_HG00186
HG00187	CTRL_HG00187
HG00188	CTRL_HG00188
HG00189	CTRL_HG00189
HG00190	CTRL_HG00190
HG00231	CTRL_HG00231
HG00232	CTRL_HG00232
HG00233	CTRL_HG00233
HG00234	CTRL_HG00234
HG00235	CTRL_HG00235
HG00236	CTRL_HG00236
HG00237	CTRL_HG00237
HG00238	CTRL_HG00238
HG00239	CTRL_HG00239
HG00240	CTRL_HG00240
HG00242	CTRL_HG00242
HG00243	CTRL_HG00243
HG00244	CTRL_HG00244
HG00245	CTRL_HG00245
HG00246	CTRL_HG00246
HG00250	CTRL_HG00250
HG00251	CTRL_HG00251
HG00252	CTRL_HG00252
HG00253	CTRL_HG00253
HG00254	CTRL_HG00254
HG00255	CTRL_HG00255
HG00256	CTRL_HG00256
HG00257	CTRL_HG00257
HG00258	CTRL_HG00258
HG00259	CTRL_HG00259
HG00260	CTRL_HG00260
HG00261	CTRL_HG00261
HG00262	CTRL_HG00262
HG00263	CTRL_HG00263
HG00264	CTRL_HG00264
HG00265	CTRL_HG00265
HG00266	CTRL_HG00266
HG00267	CTRL_HG00267
HG00268	CTRL_HG00268
HG00269	CTRL_HG00269
HG00271	CTRL_HG00271
HG00272	CTRL_HG00272
HG00273	CTRL_HG00273
HG00274	CTRL_HG00274
HG00275	CTRL_HG00275
HG00276	CTRL_HG00276
HG00277	CTRL_HG00277
HG00278	CTRL_HG00278
HG00280	CTRL_HG00280
HG00281	CTRL_HG00281
HG00282	CTRL_HG00282
HG00284	CTRL_HG00284
HG00285	CTRL_HG00285
HG00288	CTRL_HG00288
HG00290	CTRL_HG00290
HG00304	CTRL_HG00304
HG00306	CTRL_HG00306
HG00308	CTRL_HG00308
HG00309	CTRL_HG00309
HG00310	CTRL_HG00310
HG00311	CTRL_HG00311
HG00313	CTRL_HG00313
HG00315	CTRL_HG00315
HG00318	CTRL_HG00318
HG00319	CTRL_HG00319
HG00320	CTRL_HG00320
HG00321	CTRL_HG00321
HG00323	CTRL_HG00323
HG00324	CTRL_HG00324
HG00325	CTRL_HG00325
HG00326	CTRL_HG00326
HG00327	CTRL_HG00327
HG00328	CTRL_HG00328
HG00329	CTRL_HG00329
HG00330	CTRL_HG00330
HG00331	CTRL_HG00331
HG00332	CTRL_HG00332
HG00334	CTRL_HG00334
HG00335	CTRL_HG00335
HG00336	CTRL_HG00336
HG00337	CTRL_HG00337
HG00338	CTRL_HG00338
HG00339	CTRL_HG00339
HG00341	CTRL_HG00341
HG00342	CTRL_HG00342
HG00343	CTRL_HG00343
HG00344	CTRL_HG00344
HG00345	CTRL_HG00345
HG00346	CTRL_HG00346
HG00349	CTRL_HG00349
HG00350	CTRL_HG00350
HG00351	CTRL_HG00351
HG00353	CTRL_HG00353
HG00355	CTRL_HG00355
HG00356	CTRL_HG00356
HG00357	CTRL_HG00357
HG00358	CTRL_HG00358
HG00360	CTRL_HG00360
HG00361	CTRL_HG00361
HG00362	CTRL_HG00362
HG00364	CTRL_HG00364
HG00365	CTRL_HG00365
HG00366	CTRL_HG00366
HG00367	CTRL_HG00367
HG00368	CTRL_HG00368
HG00369	CTRL_HG00369
HG00371	CTRL_HG00371
HG00372	CTRL_HG00372
HG00373	CTRL_HG00373
HG00375	CTRL_HG00375
HG00376	CTRL_HG00376
HG00378	CTRL_HG00378
HG00379	CTRL_HG00379
HG00380	CTRL_HG00380
HG00381	CTRL_HG00381
HG00382	CTRL_HG00382
HG00383	CTRL_HG00383
HG00384	CTRL_HG00384
HG00403	CTRL_HG00403
HG00404	CTRL_HG00404
HG00405	CTRL_HG00405
HG00406	CTRL_HG00406
HG00407	CTRL_HG00407
HG00408	CTRL_HG00408
HG00409	CTRL_HG00409
HG00410	CTRL_HG00410
HG00418	CTRL_HG00418
HG00419	CTRL_HG00419
HG00420	CTRL_HG00420
HG00421	CTRL_HG00421
HG00422	CTRL_HG00422
HG00423	CTRL_HG00423
HG00427	CTRL_HG00427
NA20512	CTRL_NA20512
NA20513	CTRL_NA20513
NA20514	CTRL_NA20514
NA20515	CTRL_NA20515
NA20516	CTRL_NA20516
NA20517	CTRL_NA20517
NA20518	CTRL_NA20518
NA20519	CTRL_NA20519
NA20520	CTRL_NA20520
NA20521	CTRL_NA20521
NA20522	CTRL_NA20522
NA20524	CTRL_NA20524
NA20525	CTRL_NA20525
NA20527	CTRL_NA20527
NA20528	CTRL_NA20528
NA20529	CTRL_NA20529
NA20530	CTRL_NA20530
NA20531	CTRL_NA20531
NA20532	CTRL_NA20532
NA20533	CTRL_NA20533
NA20534	CTRL_NA20534
NA20535	CTRL_NA20535
NA20536	CTRL_NA20536
NA20538	CTRL_NA20538
NA20539	CTRL_NA20539
NA20540	CTRL_NA20540
NA20541	CTRL_NA20541
NA20542	CTRL_NA20542
NA20543	CTRL_NA20543
NA20544	CTRL_NA20544
NA20581	CTRL_NA20581
NA20582	CTRL_NA20582
NA20585	CTRL_NA20585
NA20586	CTRL_NA20586
NA20587	CTRL_NA20587
NA20588	CTRL_NA20588
NA20589	CTRL_NA20589
NA20752	CTRL_NA20752
NA20753	CTRL_NA20753
NA20754	CTRL_NA20754
NA20755	CTRL_NA20755
NA20756	CTRL_NA20756
NA20757	CTRL_NA20757
NA20758	CTRL_NA20758
NA20759	CTRL_NA20759
NA20760	CTRL_NA20760
NA20761	CTRL_NA20761
NA20762	CTRL_NA20762
NA20763	CTRL_NA20763
NA20764	CTRL_NA20764
NA20765	CTRL_NA20765
NA20766	CTRL_NA20766
NA20767	CTRL_NA20767
NA20768	CTRL_NA20768
NA20769	CTRL_NA20769
NA20770	CTRL_NA20770
NA20771	CTRL_NA20771
NA20772	CTRL_NA20772
NA20773	CTRL_NA20773
NA20774	CTRL_NA20774
NA20775	CTRL_NA20775
NA20778	CTRL_NA20778
NA20783	CTRL_NA20783
NA20785	CTRL_NA20785
NA20786	CTRL_NA20786
NA20787	CTRL_NA20787
NA20790	CTRL_NA20790
NA20792	CTRL_NA20792
NA20795	CTRL_NA20795
NA20796	CTRL_NA20796
NA20797	CTRL_NA20797
NA20798	CTRL_NA20798
NA20799	CTRL_NA20799
NA20800	CTRL_NA20800
NA20801	CTRL_NA20801
NA20802	CTRL_NA20802
NA20803	CTRL_NA20803
NA20804	CTRL_NA20804
NA20805	CTRL_NA20805
NA20806	CTRL_NA20806
NA20807	CTRL_NA20807
NA20808	CTRL_NA20808
NA20809	CTRL_NA20809
NA20810	CTRL_NA20810
NA20811	CTRL_NA20811
NA20812	CTRL_NA20812
NA20813	CTRL_NA20813
NA20814	CTRL_NA20814
NA20815	CTRL_NA20815
NA20818	CTRL_NA20818
NA20819	CTRL_NA20819
NA20821	CTRL_NA20821
NA20822	CTRL_NA20822
NA20826	CTRL_NA20826
NA20827	CTRL_NA20827
NA20828	CTRL_NA20828
NA20832	CTRL_NA20832
NA20845	CTRL_NA20845
NA20846	CTRL_NA20846
NA20847	CTRL_NA20847
NA20849	CTRL_NA20849
NA20850	CTRL_NA20850
NA20851	CTRL_NA20851
NA20852	CTRL_NA20852
NA20853	CTRL_NA20853
NA20854	CTRL_NA20854
NA20856	CTRL_NA20856
NA20858	CTRL_NA20858
NA20859	CTRL_NA20859
NA20861	CTRL_NA20861
NA20862	CTRL_NA20862
NA20863	CTRL_NA20863
NA20864	CTRL_NA20864
NA20866	CTRL_NA20866
NA20867	CTRL_NA20867
NA20868	CTRL_NA20868
NA20869	CTRL_NA20869
NA20870	CTRL_NA20870
NA20872	CTRL_NA20872
NA20874	CTRL_NA20874
NA20875	CTRL_NA20875
NA20876	CTRL_NA20876
NA20877	CTRL_NA20877
NA20878	CTRL_NA20878
NA20881	CTRL_NA20881
NA20882	CTRL_NA20882
NA20884	CTRL_NA20884
NA20885	CTRL_NA20885
NA20886	CTRL_NA20886
NA20887	CTRL_NA20887
NA20888	CTRL_NA20888
NA20889	CTRL_NA20889
NA20890	CTRL_NA20890
NA20891	CTRL_NA20891
NA20892	CTRL_NA20892
NA20894	CTRL_NA20894
NA20895	CTRL_NA20895
NA20896	CTRL_NA20896
NA20897	CTRL_NA20897
NA20899	CTRL_NA20899
NA20900	CTRL_NA20900
NA20901	CTRL_NA20901
NA20902	CTRL_NA20902
NA20903	CTRL_NA20903
NA20904	CTRL_NA20904
NA20905	CTRL_NA20905
