HG00096	MISC_HG00096
HG00097	MISC_HG00097
HG00099	MISC_HG00099
HG00100	MISC_HG00100
HG00101	MISC_HG00101
HG00102	MISC_HG00102
HG00103	MISC_HG00103
HG00105	MISC_HG00105
HG00106	MISC_HG00106
HG00107	MISC_HG00107
HG00108	MISC_HG00108
HG00109	MISC_HG00109
HG00110	MISC_HG00110
HG00111	MISC_HG00111
HG00112	MISC_HG00112
HG00113	MISC_HG00113
HG00114	MISC_HG00114
HG00115	MISC_HG00115
HG00116	MISC_HG00116
HG00117	MISC_HG00117
HG00118	MISC_HG00118
HG00119	MISC_HG00119
HG00120	MISC_HG00120
HG00121	MISC_HG00121
HG00122	MISC_HG00122
HG00123	MISC_HG00123
HG00125	MISC_HG00125
HG00126	MISC_HG00126
HG00127	MISC_HG00127
HG00128	MISC_HG00128
HG00129	MISC_HG00129
HG00130	MISC_HG00130
HG00131	MISC_HG00131
HG00132	MISC_HG00132
HG00133	MISC_HG00133
HG00136	MISC_HG00136
HG00137	MISC_HG00137
HG00138	MISC_HG00138
HG00139	MISC_HG00139
HG00140	MISC_HG00140
HG00141	MISC_HG00141
HG00142	MISC_HG00142
HG00143	MISC_HG00143
HG00145	MISC_HG00145
HG00146	MISC_HG00146
HG00148	MISC_HG00148
HG00149	MISC_HG00149
HG00150	MISC_HG00150
HG00151	MISC_HG00151
HG00154	MISC_HG00154
HG00155	MISC_HG00155
HG00157	MISC_HG00157
HG00158	MISC_HG00158
HG00159	MISC_HG00159
HG00160	MISC_HG00160
HG00171	MISC_HG00171
HG00173	MISC_HG00173
HG00174	MISC_HG00174
HG00176	MISC_HG00176
HG00177	MISC_HG00177
HG00178	MISC_HG00178
HG00179	MISC_HG00179
