HG00180	CTRL_HG00180
HG00181	CTRL_HG00181
HG00182	CTRL_HG00182
HG00183	CTRL_HG00183
HG00185	CTRL_HG00185
HG00186	CTRL_HG00186
HG00187	CTRL_HG00187
HG00188	CTRL_HG00188
HG00189	CTRL_HG00189
HG00190	CTRL_HG00190
HG00231	CTRL_HG00231
HG00232	CTRL_HG00232
HG00233	CTRL_HG00233
HG00234	CTRL_HG00234
HG00235	CTRL_HG00235
HG00236	CTRL_HG00236
HG00237	CTRL_HG00237
HG00238	CTRL_HG00238
HG00239	CTRL_HG00239
HG00240	CTRL_HG00240
HG00242	CTRL_HG00242
HG00243	CTRL_HG00243
HG00244	CTRL_HG00244
HG00245	CTRL_HG00245
HG00246	CTRL_HG00246
HG00250	CTRL_HG00250
HG00251	CTRL_HG00251
HG00252	CTRL_HG00252
HG00253	CTRL_HG00253
HG00254	CTRL_HG00254
HG00255	CTRL_HG00255
HG00256	CTRL_HG00256
HG00257	CTRL_HG00257
HG00258	CTRL_HG00258
HG00259	CTRL_HG00259
HG00260	CTRL_HG00260
HG00261	CTRL_HG00261
HG00262	CTRL_HG00262
HG00263	CTRL_HG00263
HG00264	CTRL_HG00264
HG00265	CTRL_HG00265
HG00266	CTRL_HG00266
HG00267	CTRL_HG00267
HG00268	CTRL_HG00268
HG00269	CTRL_HG00269
HG00271	CTRL_HG00271
HG00272	CTRL_HG00272
HG00273	CTRL_HG00273
HG00274	CTRL_HG00274
HG00275	CTRL_HG00275
HG00276	CTRL_HG00276
HG00277	CTRL_HG00277
HG00278	CTRL_HG00278
HG00280	CTRL_HG00280
HG00281	CTRL_HG00281
HG00282	CTRL_HG00282
HG00284	CTRL_HG00284
HG00285	CTRL_HG00285
HG00288	CTRL_HG00288
HG00290	CTRL_HG00290
HG00304	CTRL_HG00304
HG00306	CTRL_HG00306
HG00308	CTRL_HG00308
HG00309	CTRL_HG00309
HG00310	CTRL_HG00310
HG00311	CTRL_HG00311
HG00313	CTRL_HG00313
HG00315	CTRL_HG00315
HG00318	CTRL_HG00318
HG00319	CTRL_HG00319
HG00320	CTRL_HG00320
HG00321	CTRL_HG00321
HG00323	CTRL_HG00323
HG00324	CTRL_HG00324
HG00325	CTRL_HG00325
HG00326	CTRL_HG00326
HG00327	CTRL_HG00327
HG00328	CTRL_HG00328
HG00329	CTRL_HG00329
HG00330	CTRL_HG00330
HG00331	CTRL_HG00331
HG00332	CTRL_HG00332
HG00334	CTRL_HG00334
HG00335	CTRL_HG00335
HG00336	CTRL_HG00336
HG00337	CTRL_HG00337
HG00338	CTRL_HG00338
HG00339	CTRL_HG00339
HG00341	CTRL_HG00341
HG00342	CTRL_HG00342
HG00343	CTRL_HG00343
HG00344	CTRL_HG00344
HG00345	CTRL_HG00345
HG00346	CTRL_HG00346
HG00349	CTRL_HG00349
HG00350	CTRL_HG00350
